iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
28,28,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",91,84081.75940601247,-15.918240593987532,-19.661260217860608,34.065934065934066,0.7136199454613765,-0.18335164835173293,False
29,29,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",86,86389.1130194559,-13.610886980544102,-16.7522290414566,34.883720930232556,0.7409241011467897,-0.162906976744271,False
30,30,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",77,88027.9244221662,-11.972075577833808,-15.54184793410881,35.064935064935064,0.744717967142853,-0.1583766233767084,False
31,31,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",154,94605.84508376973,-5.394154916230265,-21.19126180097074,40.25974025974026,0.9355066762330958,-0.028506493506581337,False
32,32,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",143,91329.74945770239,-8.670250542297609,-22.8057538174285,39.16083916083916,0.8889469250743991,-0.05597902097910822,False
33,33,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",134,88532.85137326168,-11.467148626738311,-23.433913150213137,38.059701492537314,0.843715809539463,-0.08350746268665382,False
34,34,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",123,89839.64144096081,-10.160358559039185,-20.803980801111777,38.21138211382114,0.852123576832963,-0.07971544715455829,False
35,35,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",109,85123.24249620378,-14.876757503796224,-24.218119284561446,35.77981651376147,0.759147696179678,-0.1405045871560488,False
36,36,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",106,87821.98950699276,-12.17801049300724,-21.972948312788688,36.79245283018868,0.7958323447102913,-0.11518867924536895,False
37,37,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",95,91369.54458012199,-8.630455419878015,-20.821229209934888,37.89473684210527,0.8402969598176114,-0.08763157894745496,False
38,38,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",87,81333.85976489745,-18.666140235102546,-25.45455307145289,32.18390804597701,0.6434222004573689,-0.2304022988506584,False
39,39,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",84,88205.5184558412,-11.794481544158797,-19.156427423198387,35.714285714285715,0.7641034230727508,-0.1421428571429425,False
40,40,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",75,89878.78727843967,-10.121212721560324,-16.761294962902262,36.0,0.7730213525172978,-0.1350000000000856,False
41,41,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",129,93260.19232936681,-6.739807670633191,-20.01929447764772,39.53488372093023,0.9066955271844022,-0.04662790697683165,False
