entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2021-01-28 10:00:00+00:00,2021-01-28 10:00:00+00:00,short,1.21087,1.2116099999999999,1.20939,3100819.135828215,1.2116099999999999,SL,-2356.6225432297347,227103.9935080467,-1.0270270270272053
2021-02-10 05:00:00+00:00,2021-02-10 08:00:00+00:00,long,1.21287,1.21211,1.2143899999999996,2988210.440895855,1.2143899999999996,TP,4482.315661342625,231586.3091693893,1.973684210526139
2021-02-18 17:00:00+00:00,2021-02-18 19:00:00+00:00,short,1.20773,1.20877,1.20565,2226791.4343212014,1.20877,SL,-2360.398920380609,229225.9102490087,-1.0192307692308966
2021-02-22 17:00:00+00:00,2021-02-24 13:00:00+00:00,long,1.21548,1.21302,1.2203999999999997,931812.6432886886,1.21302,SL,-2310.895355355983,226915.01489365273,-1.0081300813008667
2021-03-01 21:00:00+00:00,2021-03-02 01:00:00+00:00,short,1.20446,1.20533,1.2027200000000002,2608218.561996229,1.2027200000000002,TP,4486.135926632788,231401.15082028552,1.9770114942527208
2021-03-18 16:00:00+00:00,2021-03-18 18:00:00+00:00,long,1.1926,1.19104,1.1957200000000001,1483340.7103864402,1.19104,SL,-2343.6783224107785,229057.47249787475,-1.012820512820597
2021-03-22 12:00:00+00:00,2021-03-22 13:00:00+00:00,short,1.19277,1.19354,1.1912300000000002,2974772.3701025117,1.1912300000000002,TP,4521.654002555056,233579.12650042982,1.974025974025802
2021-04-06 14:00:00+00:00,2021-04-06 20:00:00+00:00,long,1.18391,1.18211,1.18751,1297661.8138912595,1.18751,TP,4645.629293730601,238224.75579416042,1.988888888888816
2021-05-04 06:00:00+00:00,2021-05-04 07:00:00+00:00,short,1.20362,1.20457,1.20172,2507629.0083595663,1.20172,TP,4714.342535715688,242939.0983298761,1.978947368420915
2021-05-10 04:00:00+00:00,2021-05-10 07:00:00+00:00,long,1.21549,1.21459,1.2172899999999998,2699323.3147766986,1.21459,SL,-2483.3774495946486,240455.72088028147,-1.0222222222223702
2021-05-28 18:00:00+00:00,2021-05-31 00:00:00+00:00,short,1.22019,1.22098,1.2186100000000004,3043743.302282636,1.2186100000000004,TP,4748.239551559578,245203.96043184106,1.9746835443036268
2021-06-01 23:00:00+00:00,2021-06-02 06:00:00+00:00,long,1.22147,1.2207000000000001,1.22301,3184467.0185955972,1.2207000000000001,SL,-2515.72894469074,242688.2314871503,-1.0259740259741983
2021-06-03 15:00:00+00:00,2021-06-04 05:00:00+00:00,short,1.21382,1.21548,1.2105,1461977.298115368,1.2105,TP,4824.525083780508,247512.75657093083,1.987951807228837
