iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
252,252,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
253,253,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 2.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
254,254,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
255,255,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 2.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
256,256,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
257,257,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 3.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
258,258,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
259,259,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
260,260,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873327,6.805510828733263,-2.0361945555555705,61.53846153846154,2.2914512351713,0.5151282051281648,523.5008329794805,False
261,261,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 4.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",15,104630.74283220527,4.630742832205281,-2.0361945555555705,53.333333333333336,1.6406335218580599,0.309999999999964,308.7161888136842,False
